Date,Action_Target,Price,Position_State,Portfolio_Value
2024-01-15,FLAT,73327.9375,0,100907.99609375
2024-01-16,FLAT,73128.7734375,0,100907.99609375
2024-01-17,FLAT,71500.7578125,0,100907.99609375
2024-01-18,FLAT,71186.859375,0,100907.99609375
2024-01-19,FLAT,71683.2265625,0,100907.99609375
2024-01-23,FLAT,70370.546875,0,100907.99609375
2024-01-24,FLAT,71060.3125,0,100907.99609375
2024-01-25,FLAT,70700.671875,0,100907.99609375
2024-01-29,FLAT,71941.5703125,0,100907.99609375
2024-01-30,FLAT,71139.8984375,0,100907.99609375
2024-01-31,FLAT,71752.109375,0,100907.99609375
2024-02-01,FLAT,71645.296875,0,100907.99609375
2024-02-02,FLAT,72085.6328125,0,100907.99609375
2024-02-05,FLAT,71731.421875,0,100907.99609375
2024-02-06,FLAT,72186.09375,0,100907.99609375
2024-02-07,FLAT,72152.0,0,100907.99609375
2024-02-08,FLAT,71428.4296875,0,100907.99609375
2024-02-09,FLAT,71595.4921875,0,100907.99609375
2024-02-12,FLAT,71072.4921875,0,100907.99609375
2024-02-13,FLAT,71555.1875,0,100907.99609375
2024-02-14,FLAT,71822.828125,0,100907.99609375
2024-02-15,FLAT,72050.3828125,0,100907.99609375
2024-02-16,FLAT,72426.640625,0,100907.99609375
2024-02-19,FLAT,72708.15625,0,100907.99609375
2024-05-17,FLAT,73917.03125,0,100907.99609375
2024-05-21,FLAT,73953.3125,0,100907.99609375
2024-05-22,FLAT,74221.0625,0,100907.99609375
2024-05-23,FLAT,75418.0390625,0,100907.99609375
2024-05-24,FLAT,75410.390625,0,100907.99609375
2024-05-27,FLAT,75390.5,0,100907.99609375
2024-05-28,FLAT,75170.453125,0,100907.99609375
2024-05-29,FLAT,74502.8984375,0,100907.99609375
2024-05-30,FLAT,73885.6015625,0,100907.99609375
2024-05-31,FLAT,73961.3125,0,100907.99609375
2024-06-03,FLAT,76468.78125,0,100907.99609375
2024-06-04,SHORT,72079.046875,-1,98604.80078125
2024-06-05,FLAT,74382.2421875,0,98599.80078125
2024-06-06,FLAT,75074.5078125,0,98599.80078125
2024-06-07,FLAT,76693.359375,0,98599.80078125
2024-06-10,FLAT,76490.078125,0,98599.80078125
2024-06-11,FLAT,76456.59375,0,98599.80078125
2024-06-12,FLAT,76606.5703125,0,98599.80078125
2024-06-13,FLAT,76810.8984375,0,98599.80078125
2024-06-14,FLAT,76992.7734375,0,98599.80078125
2024-06-18,FLAT,77301.140625,0,98599.80078125
2024-06-19,FLAT,77337.59375,0,98599.80078125
2024-06-20,FLAT,77478.9296875,0,98599.80078125
2024-06-21,FLAT,77209.8984375,0,98599.80078125
2024-06-24,FLAT,77341.078125,0,98599.80078125
2024-06-25,FLAT,78053.5234375,0,98599.80078125
2024-06-26,FLAT,78674.25,0,98599.80078125
2024-06-27,FLAT,79243.1796875,0,98599.80078125
2024-06-28,FLAT,79032.7265625,0,98599.80078125
2024-07-01,FLAT,79476.1875,0,98599.80078125
2024-07-02,FLAT,79441.453125,0,98599.80078125
2024-07-03,FLAT,79986.796875,0,98599.80078125
2024-08-19,FLAT,80424.6796875,0,98599.80078125
2024-08-20,FLAT,80802.859375,0,98599.80078125
2024-08-21,FLAT,80905.296875,0,98599.80078125
2024-08-22,FLAT,81053.1875,0,98599.80078125
2024-08-23,FLAT,81086.2109375,0,98599.80078125
2024-08-26,FLAT,81698.109375,0,98599.80078125
2024-08-27,FLAT,81711.7578125,0,98599.80078125
2024-08-28,FLAT,81785.5625,0,98599.80078125
2024-08-29,FLAT,82134.609375,0,98599.80078125
2024-08-30,FLAT,82365.7734375,0,98599.80078125
2024-09-02,FLAT,82559.84375,0,98599.80078125
2024-09-03,FLAT,82555.4375,0,98599.80078125
2024-09-04,FLAT,82352.640625,0,98599.80078125
2024-09-05,FLAT,82201.15625,0,98599.80078125
2024-09-06,FLAT,81183.9296875,0,98599.80078125
2024-09-09,FLAT,81559.5390625,0,98599.80078125
2024-09-10,FLAT,81921.2890625,0,98599.80078125
2024-09-11,FLAT,81523.15625,0,98599.80078125
2024-09-12,FLAT,82962.7109375,0,98599.80078125
2024-09-13,FLAT,82890.9375,0,98599.80078125
2024-09-16,FLAT,82988.78125,0,98599.80078125
2024-09-17,FLAT,83079.65625,0,98599.80078125
2024-09-18,FLAT,82948.2265625,0,98599.80078125
2024-09-19,FLAT,83184.796875,0,98599.80078125
2024-09-20,FLAT,84544.3125,0,98599.80078125
2024-09-23,FLAT,84928.609375,0,98599.80078125
2024-09-24,FLAT,84914.0390625,0,98599.80078125
2024-09-25,FLAT,85169.8671875,0,98599.80078125
2024-09-26,FLAT,85836.1171875,0,98599.80078125
2024-09-27,FLAT,85571.8515625,0,98599.80078125
2024-09-30,FLAT,84299.78125,0,98599.80078125
2024-10-01,FLAT,84266.2890625,0,98599.80078125
2024-10-03,FLAT,82497.1015625,0,98599.80078125
2024-10-04,FLAT,81688.453125,0,98599.80078125
2024-10-07,SHORT,81050.0,-1,98014.98828125
2024-10-08,FLAT,81634.8125,0,98009.98828125
2024-10-09,FLAT,81467.1015625,0,98009.98828125
2024-10-10,FLAT,81611.40625,0,98009.98828125
2024-10-11,FLAT,81381.359375,0,98009.98828125
2024-10-14,FLAT,81973.046875,0,98009.98828125
2024-10-15,FLAT,81820.1171875,0,98009.98828125
2024-10-16,FLAT,81501.359375,0,98009.98828125
2024-10-17,FLAT,81006.609375,0,98009.98828125
2024-10-18,FLAT,81224.75,0,98009.98828125
2024-10-21,FLAT,81151.2734375,0,98009.98828125
2024-10-22,SHORT,80220.71875,-1,98148.73046875
2024-10-23,FLAT,80081.9765625,0,98143.73046875
2024-10-24,FLAT,80065.15625,0,98143.73046875
2024-10-25,FLAT,79402.2890625,0,98143.73046875
2024-10-28,FLAT,80005.0390625,0,98143.73046875
2024-10-29,FLAT,80369.03125,0,98143.73046875
2024-10-30,FLAT,79942.1796875,0,98143.73046875
2024-10-31,FLAT,79389.0625,0,98143.73046875
2024-11-01,FLAT,79724.1171875,0,98143.73046875
2024-11-04,FLAT,78782.2421875,0,98143.73046875
2024-11-05,FLAT,79476.6328125,0,98143.73046875
2024-11-06,FLAT,80378.1328125,0,98143.73046875
2024-11-07,FLAT,79541.7890625,0,98143.73046875
2024-11-08,FLAT,79486.3203125,0,98143.73046875
2024-11-11,FLAT,79496.1484375,0,98143.73046875
2024-11-12,FLAT,78675.1796875,0,98143.73046875
